Audio_Name Is_Faked Speaker_ID
CD901A7B.wav 1 0
287AF41E.wav 1 0
318CD052.wav 1 0
BFCE5609.wav 1 0
F561B2CA.wav 1 0
837641D0.wav 0 pyh_0001
14EDCF53.wav 0 abk_1049
C8B736F9.wav 0 hcs_4783
E61A03C5.wav 1 0
07123A4F.wav 1 0
DB748195.wav 1 0
D1F2C09E.wav 0 glp_0974
7E0BC549.wav 1 0
B4CF2071.wav 1 0
241BFEC7.wav 0 rdk_0724
4B67AF8C.wav 1 0
BFE802D9.wav 0 da_6092
562D03B9.wav 1 0
B471D9E2.wav 0 hsd_0642
2DA9365F.wav 1 0
F9B531CA.wav 0 bq_8369
C1BDF6E5.wav 1 0
1D3709BC.wav 0 aq_3792
EB35CF28.wav 1 0
1DC3F9E4.wav 0 bz_3269
F2EC9BA6.wav 1 0
37FB9D65.wav 1 0
8EBD0625.wav 1 0
28139DC7.wav 0 rq_7342
FC0EA123.wav 0 hsd_0642
72694BDF.wav 1 0
8F4D1ECB.wav 0 bz_3269
DF6B12A4.wav 0 zy_2371
38BA4D10.wav 1 0
5A8B1372.wav 0 bq_8369
736945DA.wav 0 rdk_0724
416CE058.wav 1 0
2438A7D5.wav 1 0
095F4A7E.wav 0 kyd_0153
2170D8C3.wav 1 0
7A8D09F2.wav 1 0
C50BADFE.wav 0 wrb_1378
E2D697A0.wav 1 0
D618E294.wav 1 0
5870AD61.wav 0 jta_0836
C2AE375B.wav 0 ah_4729
13FCEB6D.wav 1 0
D53F2B74.wav 1 0
5301C978.wav 1 0
B607A8DC.wav 1 0
1CA5D0F3.wav 0 af_8572
FC50763B.wav 0 zd_1689
796D4F5B.wav 1 0
8623AB10.wav 1 0
36F92E41.wav 1 0
6E1F57D9.wav 0 rdk_0724
627F4DB1.wav 1 0
EA675C1B.wav 1 0
1749B8EC.wav 1 0
F192E5AB.wav 0 jta_0836
387B2DC1.wav 1 0
EF709A26.wav 0 yge_6705
2E4F8A70.wav 0 bfh_8971
2C8605F9.wav 0 jta_0836
45B9AFD7.wav 1 0
576E8124.wav 1 0
EA9560D7.wav 0 ha_5413
0ED56C87.wav 0 ctf_0172
129BCEF6.wav 1 0
2A064B17.wav 0 cbe_9478
4E613A5F.wav 0 rq_7342
194AB76C.wav 0 qf_4356
15FB28AD.wav 0 jta_0836
7EA4C0D6.wav 1 0
2B84EA93.wav 0 sl_9052
C0948D76.wav 1 0
25ABC19D.wav 0 jf_4635
71586B4A.wav 1 0
B0F35786.wav 1 0
D93CA185.wav 1 0
85E1290D.wav 0 eqa_3472
5EF9D623.wav 0 jta_0836
83EA196B.wav 1 0
BEF29D60.wav 0 qs_8612
F3CB74D9.wav 0 kpl_2536
E065B723.wav 1 0
45FD69A1.wav 0 lta_2934
B76A9052.wav 0 af_8572
2BD0C7F4.wav 1 0
0BE46738.wav 0 dq_1348
D580EBA3.wav 0 wk_7215
13F7D546.wav 1 0
6A34D28C.wav 1 0
CAF18B57.wav 0 dq_1348
36085D9E.wav 1 0
284069EB.wav 0 aq_3792
D63ACFE5.wav 0 cej_2304
240F768D.wav 0 bz_3269
513D2074.wav 1 0
7A439DB1.wav 1 0
FD1759C4.wav 1 0
2F7DCB50.wav 1 0
39F46C78.wav 1 0
1DE9820F.wav 1 0
C048A792.wav 0 kr_6257
6140B39E.wav 0 sj_0269
C2679FBE.wav 1 0
37FCD56E.wav 0 ha_5413
71BD0538.wav 1 0
B5D1428F.wav 0 qs_8612
4390AF5D.wav 1 0
79F5D6E2.wav 0 yge_6705
